,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
617,Más de 5 años,1,2 meses,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,3.0,5.0,8
618,Entre 0 y 6 meses,3,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,25.0,33.0,7
619,Entre 1 y 3 años,1,Cada 20 días,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,5.0,5.0,4
620,Más de 5 años,5,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,No,13.0,7.0,8
621,Más de 5 años,11,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Algo satisfecho,Sí,Sí,13.0,10.0,8
622,Más de 5 años,1,Cada 2 meses,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,5.0,1.0,10
623,Entre 1 y 3 años,3,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,8.0,20.0,8
624,Entre 3 y 5 años,5,2 veces a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,25.0,10.0,8
625,Entre 6 meses y un año,50,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,No aplica ,Visitas personales,Visitas personales,Muy satisfecho,Sí,Sí,25.0,10.0,10
626,Entre 1 y 3 años,1000,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,No aplica ,Visitas personales,Visitas personales,Muy satisfecho,No,Sí,25.0,35.0,8
627,Entre 1 y 3 años,15,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,No aplica ,"Visitas personales, Redes sociales (Facebook, Instagram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,Sí,10.0,4.0,6
628,Entre 6 meses y un año,100,2 veces al mes,Efectivo,No,No,No aplica ,Visitas personales,Visitas personales,Algo insatisfecho,No,No,16.0,12.0,6
629,Entre 1 y 3 años,30,1 vez al mes,Efectivo,No,No,No aplica ,Visitas personales,Visitas personales,Algo insatisfecho,No,No,25.0,13.0,8
630,Entre 6 meses y un año,180,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,No aplica ,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)",Visitas personales,Algo insatisfecho,No,Sí,10.0,15.0,7
631,Entre 3 y 5 años,10,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,15.0,8.0,6
632,Entre 1 y 3 años,20,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,No,40.0,25.0,10
633,Más de 5 años,20,1 vez al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Correo electrónico","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,25.0,10.0,8
634,Entre 3 y 5 años,350,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,40.0,30.0,7
635,Más de 5 años,80,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,8.0,4.0,9
636,Entre 0 y 6 meses,4,No realiza pedidos,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",No aplica ,Visitas personales,Algo satisfecho,No,Sí,25.0,10.0,7
637,Más de 5 años,150,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,40.0,25.0,4
638,Entre 1 y 3 años,30,2 veces al mes,"Efectivo, Tarjeta de debito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,30.0,45.0,5
639,Entre 1 y 3 años,50,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Visitas personales,Visitas personales,Muy satisfecho,No,No,30.0,15.0,7
640,Entre 0 y 6 meses,500,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,200.0,39.9,1
641,Más de 5 años,15,1 vez al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,8.0,3.0,8
642,Entre 3 y 5 años,8,Cada 20 días ,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,20.0,60.0,6
643,Más de 5 años,15,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,40.0,100.0,5
644,Entre 3 y 5 años,3,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,8.0,16.0,8
645,Más de 5 años,500,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo insatisfecho,No,No,12.0,4.0,9
646,Entre 6 meses y un año,10,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Algo insatisfecho,No,No,15.0,10.0,5
647,Más de 5 años,3,Cada mes y medio,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,No,13.0,15.0,8
648,Más de 5 años,5,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,4.0,4.0,8
649,Más de 5 años,80,1 vez al día,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas, Correo electrónico","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,8.0,4.0,10
650,Entre 1 y 3 años,5,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,Sí,50.0,80.0,6
651,Entre 1 y 3 años,3,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,7.0,1.0,5
652,Entre 3 y 5 años,12,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Correo electrónico",Llamadas telefónicas,Algo insatisfecho,No,No,30.0,60.0,1
653,Entre 6 meses y un año,30,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,50.0,1.0,10
654,Más de 5 años,2,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Terminal para el pago con tarjeta,Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,30.0,60.0,6
655,Más de 5 años,15,No realiza pedidos,Efectivo,No,No,Terminal para el pago con tarjeta,Llamadas telefónicas,Visitas personales,Algo satisfecho,No,No,10.0,1.0,8
656,Entre 0 y 6 meses,100,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,15.0,50.0,7
657,Entre 1 y 3 años,2,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,No,10.0,6.0,8
658,Entre 6 meses y un año,4,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,50.0,50.0,8
659,Entre 0 y 6 meses,20,No realiza pedidos,Efectivo,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",No hay ,"Visitas personales, Mensajes de texto",Algo satisfecho,No,Sí,3.0,1.0,5
660,Más de 5 años,40,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,2.0,1.0,7
661,Más de 5 años,50,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea",Visitas personales,"Visitas personales, Llamadas telefónicas",Algo satisfecho,No,Sí,70.0,35.0,8
662,Entre 1 y 3 años,1000,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Boletines ","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,20.0,5.0,8
663,Más de 5 años,500,1 vez a la semana,Efectivo,No,Sí,"Terminal para el pago con tarjeta, Sistema de cobro mairus",Visitas personales,Visitas personales,Muy satisfecho,No,No,100.0,50.0,2
664,Más de 5 años,2,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Terminal para el pago con tarjeta, Sistema de cobro mairus",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Algo satisfecho,Sí,No,3.0,1.0,8
665,Más de 5 años,250,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto, Correo electrónico","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,10.0,9.0,9
666,Entre 3 y 5 años,300,2 veces a la semana,"Efectivo, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Páginas web, Software o plataformas compartidas",Visitas personales,Algo insatisfecho,No,No,10.0,5.0,8
667,Más de 5 años,700,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,No,No,12.0,15.0,9
668,Más de 5 años,100,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Algo satisfecho,Sí,No,3.0,1.0,5
669,Entre 0 y 6 meses,30,1 vez a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Mensajes de texto","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,15.0,7.0,8
670,Más de 5 años,1,No realiza pedidos,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Mensajes de texto","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,10.0,16.0,8
671,Más de 5 años,+300,1 vez al mes,"Efectivo, Tarjeta de debito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas, Páginas web","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,Sí,No,10.0,30.0,10
672,Entre 3 y 5 años,14,2 veces al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajes de texto",Algo satisfecho,Sí,Sí,20.0,25.0,6
673,Más de 5 años,30,2 veces al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,Sí,20.0,10.0,4
674,Entre 6 meses y un año,30,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web, Software o plataformas compartidas",Algo satisfecho,Sí,Sí,30.0,10.0,7
675,Entre 0 y 6 meses,15,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas",Muy satisfecho,Sí,Sí,3.0,3.0,10
676,Más de 5 años,200,1 vez al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas",Algo insatisfecho,No,No,10.0,10.0,5
677,Entre 3 y 5 años,6,1 vez al mes,"Efectivo, Tarjeta de debito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo insatisfecho,Sí,No,15.0,25.0,8
678,Entre 0 y 6 meses,12,2 veces al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Plataformas de pedidos en línea,Páginas web,"Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,50.0,200.0,8
679,Entre 1 y 3 años,40,1 vez a la semana,"Efectivo, Tarjeta de debito",No,Sí,Terminal para el pago con tarjeta,Mensajes de texto,"Visitas personales, Mensajes de texto",Muy satisfecho,No,No,20.0,10.0,8
680,Entre 3 y 5 años,10,No realiza pedidos,Efectivo,No,No,Terminal para el pago con tarjeta,no,Visitas personales,Muy satisfecho,No,Sí,25.0,40.0,5
681,Más de 5 años,2,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea",Software o plataformas compartidas,Visitas personales,Muy satisfecho,Sí,Sí,100.0,100.0,3
682,Entre 1 y 3 años,40,1 vez al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto, Correo electrónico",Visitas personales,Muy satisfecho,Sí,Sí,5.0,5.0,8
683,Más de 5 años,5,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Computadora,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,Sí,40.0,40.0,3
684,Entre 1 y 3 años,30,2 veces a la semana,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,Sí,20.0,20.0,4
685,Entre 3 y 5 años,200,1 vez a la semana,"Efectivo, transferencia",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,"Visitas personales, Mensajes de texto",Muy satisfecho,No,Sí,40.0,45.0,8
686,Entre 1 y 3 años,40,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Na,"Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Llamadas telefónicas, Correo electrónico",Algo satisfecho,Sí,No,4.0,2.0,2
687,Más de 5 años,40,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Na,"Llamadas telefónicas, Mensajes de texto","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,30.0,70.0,5
688,Más de 5 años,2,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,Na,"Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros), Páginas web",Algo satisfecho,Sí,Sí,3.0,1.0,8
689,Entre 0 y 6 meses,100,1 vez a la semana,Efectivo,No,No,Na,Mensajes de texto,Visitas personales,Algo satisfecho,Sí,No,20.0,10.0,7
690,Entre 3 y 5 años,7,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,2.0,3.0,8
